ac_sink,sink_gender,sink_YOB,sink_race
de3e2a64d8a9df7c310e8d1ffbd65927,F,1953,White
211247944291cbb98ca0e6b0d19558a3,F,1968,Unknown
2b88bbef8f9cd0e2264dd4b8f53e11dd,F,1967,White
7a3e2a9aafd3bb57917c7d128fd5726f,F,1948,White
9d5bf123d39820c6912c5aaa293a6398,F,1950,White
60839e18f40b47a2dcf36cb9990b245e,F,1955,Other
f4d16082f312c31a431b9eba9ab70f63,M,1949,Other
7b2dd8c69a77e5fbee9ab33bbd52b64a,F,1967,White
c519be1f84b25d2691ee5ab6a8808b6e,M,1979,White
9bf7a46e76a85b4084e058dfe28f6db3,F,1980,White
44affbe7ebb77a509a219f2eb86a67df,M,1987,White
9e6bb8cd80435ee522b2946a65e95569,F,1980,White
5e0ae3fb23a39aeb19d131af3e1364ea,M,1970,Unknown
f0ab9563e33a00e75b61d3edf49b1672,M,1980,White
9d0a1ff00db3a02c9d2c542974c9c854,F,1964,White
f90ad260635d8049eafff0c8505b4d97,M,1964,Hispanic
98e5d8c036790e7b6ec80b689b40734a,F,1967,Other
7028fb5c8654cb05f444bac3268fdea7,F,1969,White
55e614c67622505bcdd4803347333614,M,1975,White
acbac0aa02785a3c90d653db75e877cb,F,1991,White
fd68358a3a47620e7148d6e413a135d6,F,1977,White
42077d5a73fcf5ea49aad627f45c9a10,F,1952,White
ea1479f70b8a11d0e04dfda5192e61cd,F,1967,Unknown
8e717aa6d805eee1462653394ab0e776,F,1988,White
afae2d89160a7e5955d8255a40ea0d52,F,1972,White
3997bae93ec7ff68f14ea68adac4d722,F,1986,Other
efb669755983a6431ad6da3f92953c97,M,1963,White
3e376800f6dfe15305a391b811ffa0eb,F,1979,White
f8c888bafd239aa0f484848d4c9764fc,M,1974,White
49bf5173ad99e9193ad4e72e60025522,M,1976,White
0e8322be943cf36dab1b58ca34cac720,M,1982,Other
98a555d0839e5d4f3feec5da2e71d383,F,1973,White
a30ff29be162e446d844d5aa88a844ae,M,1989,White
9679226d990cccc171a28c33cbcc9dc0,F,1973,Other
a087e3ef6f962cb084c410540987d0ee,F,1979,White
68e08daf680549cf0620da5438b5f7f8,M,1956,White
2d2524a86046f630f646ffb24196682a,M,1960,White
103a0bb3f0a9e76ca81ae11a9327d276,F,1976,White
8c1be8d12d97258cfff0ffbfe37f594a,F,1969,White
24b6b5f1df16e2be9dfcc321fd9932e6,F,1956,White
14ee7a5757ffe4fc1bff0df3b3d3c642,F,1969,White
e45f3f9ba085684dfd863da1d779b720,M,1992,White
db6de4832dd744451e9188a0505b6f53,F,1983,White
5ebcf3d9e4ef031c3a1a4ff8699a304a,F,1955,White
d9490d712539a1756a986e26d3e2c38c,F,1957,Other
87d13b6d8ae8fe1ff4cfe3cc4d5ac55b,F,1957,White
ff9972bc5774c8389163cd07f7fd1b64,M,1962,White
4c89d21d08654b1fde402a281897f7c0,F,1961,White
c5588f28769cdfe39d0152659eb37164,M,1954,White
a1515c0b3cf197eba644274f26921349,F,1959,White
ac92884d73da8a616f623d09834f6e5c,F,1980,White
ffc24f1ed9ef8fad98f9697578d30a77,M,1973,White
ead34f957af29e7ad14101999636ba2e,F,1971,White
0dc57969e347b39cf3c161e5484adc31,F,1982,White
c5cb6ef97d5b1332c4c4cd9db0118a49,F,1990,White
12682cb4ef30c0f1aae4fd5740166faf,M,1980,White
b0d4675c254ea65dc354d4831e8810a9,M,1972,White
49bd7816d725133d99919f291350a685,F,1972,Unknown
b8c463ebc8b3ad922b6a51dbd4474048,F,1951,White
c1329f67c3895bca47e78084998d56ff,F,1968,White
8315c5c83a900632b394cfa46394cd6e,M,1959,White
39eef5d7737aa301b1f123678f4d7d1d,M,1958,Other
bd60c092039d44d7f3ae419a920a3a90,F,1987,White
de7972fbedefffbe29a6acaf7d32b733,F,1947,White
0e71c75d01952f36d27b059de70142bb,F,1963,White
b259a1ded8df0387d7a8345690e25279,F,1973,White
e8290b760193f88371045b8588def8e7,F,1964,White
7840aa36f52e5d474dd7f5b58fb8d877,F,1964,White
c19f2bfb7351d143da52406f755c0625,F,1967,Other
0c167a75b24b461461644e1d6c76c2fa,F,1961,White
fe2e33b52440e888d306587b3eef8a7c,F,1960,White
71f0408c2df7d0dd9bd3814119bf0504,F,1951,White
697d78add7eb2a6f16af2420be752549,M,1968,White
